Region,Product Category,Sales,Profit,Date,City,Stage
North,Furniture,2500,500,2023-01-31,New York,Lead
South,Office Supplies,4000,800,2023-02-28,Los Angeles,Contacted
East,Technology,1500,300,2023-03-31,Chicago,Qualified
West,Furniture,3000,600,2023-04-30,Houston,Proposal
North,Office Supplies,3200,750,2023-05-31,New York,Lead
South,Technology,2200,400,2023-06-30,Los Angeles,Contacted
East,Furniture,2800,650,2023-07-31,Chicago,Qualified
West,Office Supplies,2700,620,2023-08-31,Houston,Proposal
North,Technology,3100,700,2023-09-30,New York,Lead
South,Furniture,2100,420,2023-10-31,Los Angeles,Contacted
East,Office Supplies,1800,390,2023-11-30,Chicago,Qualified
West,Technology,2900,680,2023-12-31,Houston,Proposal
